fecha,Q_m3s,flag_negativo,flag_iqr,flag_percentil,flag_salto,estado_qc
2012-01-01,,False,False,False,False,FALTANTE
2012-01-02,,False,False,False,False,FALTANTE
2012-01-03,,False,False,False,False,FALTANTE
2012-01-04,,False,False,False,False,FALTANTE
2012-01-05,,False,False,False,False,FALTANTE
2012-01-06,,False,False,False,False,FALTANTE
2012-01-07,,False,False,False,False,FALTANTE
2012-01-08,,False,False,False,False,FALTANTE
2012-01-09,,False,False,False,False,FALTANTE
2012-01-10,,False,False,False,False,FALTANTE
2012-01-11,,False,False,False,False,FALTANTE
2012-01-12,,False,False,False,False,FALTANTE
2012-01-13,,False,False,False,False,FALTANTE
2012-01-14,,False,False,False,False,FALTANTE
2012-01-15,,False,False,False,False,FALTANTE
2012-01-16,,False,False,False,False,FALTANTE
2012-01-17,,False,False,False,False,FALTANTE
2012-01-18,,False,False,False,False,FALTANTE
2012-01-19,,False,False,False,False,FALTANTE
2012-01-20,,False,False,False,False,FALTANTE
2012-01-21,,False,False,False,False,FALTANTE
2012-01-22,,False,False,False,False,FALTANTE
2012-01-23,,False,False,False,False,FALTANTE
2012-01-24,,False,False,False,False,FALTANTE
2012-01-25,,False,False,False,False,FALTANTE
2012-01-26,,False,False,False,False,FALTANTE
2012-01-27,,False,False,False,False,FALTANTE
2012-01-28,,False,False,False,False,FALTANTE
2012-01-29,,False,False,False,False,FALTANTE
2012-01-30,,False,False,False,False,FALTANTE
2012-01-31,,False,False,False,False,FALTANTE
2012-02-01,,False,False,False,False,FALTANTE
2012-02-02,,False,False,False,False,FALTANTE
2012-02-03,,False,False,False,False,FALTANTE
2012-02-04,,False,False,False,False,FALTANTE
2012-02-05,,False,False,False,False,FALTANTE
2012-02-06,,False,False,False,False,FALTANTE
2012-02-07,,False,False,False,False,FALTANTE
2012-02-08,,False,False,False,False,FALTANTE
2012-02-09,,False,False,False,False,FALTANTE
2012-02-10,,False,False,False,False,FALTANTE
2012-02-11,,False,False,False,False,FALTANTE
2012-02-12,,False,False,False,False,FALTANTE
2012-02-13,,False,False,False,False,FALTANTE
2012-02-14,,False,False,False,False,FALTANTE
2012-02-15,,False,False,False,False,FALTANTE
2012-02-16,,False,False,False,False,FALTANTE
2012-02-17,,False,False,False,False,FALTANTE
2012-02-18,,False,False,False,False,FALTANTE
2012-02-19,,False,False,False,False,FALTANTE
2012-02-20,,False,False,False,False,FALTANTE
2012-02-21,,False,False,False,False,FALTANTE
2012-02-22,,False,False,False,False,FALTANTE
2012-02-23,,False,False,False,False,FALTANTE
2012-02-24,,False,False,False,False,FALTANTE
2012-02-25,,False,False,False,False,FALTANTE
2012-02-26,,False,False,False,False,FALTANTE
2012-02-27,,False,False,False,False,FALTANTE
2012-02-28,,False,False,False,False,FALTANTE
2012-02-29,,False,False,False,False,FALTANTE
2012-03-01,,False,False,False,False,FALTANTE
2012-03-02,,False,False,False,False,FALTANTE
2012-03-03,,False,False,False,False,FALTANTE
2012-03-04,,False,False,False,False,FALTANTE
2012-03-05,,False,False,False,False,FALTANTE
2012-03-06,,False,False,False,False,FALTANTE
2012-03-07,,False,False,False,False,FALTANTE
2012-03-08,,False,False,False,False,FALTANTE
2012-03-09,,False,False,False,False,FALTANTE
2012-03-10,,False,False,False,False,FALTANTE
2012-03-11,,False,False,False,False,FALTANTE
2012-03-12,,False,False,False,False,FALTANTE
2012-03-13,,False,False,False,False,FALTANTE
2012-03-14,,False,False,False,False,FALTANTE
2012-03-15,,False,False,False,False,FALTANTE
2012-03-16,,False,False,False,False,FALTANTE
2012-03-17,,False,False,False,False,FALTANTE
2012-03-18,,False,False,False,False,FALTANTE
2012-03-19,,False,False,False,False,FALTANTE
2012-03-20,,False,False,False,False,FALTANTE
2012-03-21,,False,False,False,False,FALTANTE
2012-03-22,,False,False,False,False,FALTANTE
2012-03-23,,False,False,False,False,FALTANTE
2012-03-24,,False,False,False,False,FALTANTE
2012-03-25,,False,False,False,False,FALTANTE
2012-03-26,,False,False,False,False,FALTANTE
2012-03-27,,False,False,False,False,FALTANTE
2012-03-28,,False,False,False,False,FALTANTE
2012-03-29,,False,False,False,False,FALTANTE
2012-03-30,,False,False,False,False,FALTANTE
2012-03-31,,False,False,False,False,FALTANTE
2012-04-01,,False,False,False,False,FALTANTE
2012-04-02,,False,False,False,False,FALTANTE
2012-04-03,,False,False,False,False,FALTANTE
2012-04-04,,False,False,False,False,FALTANTE
2012-04-05,,False,False,False,False,FALTANTE
2012-04-06,,False,False,False,False,FALTANTE
2012-04-07,,False,False,False,False,FALTANTE
2012-04-08,,False,False,False,False,FALTANTE
2012-04-09,,False,False,False,False,FALTANTE
2012-04-10,,False,False,False,False,FALTANTE
2012-04-11,,False,False,False,False,FALTANTE
2012-04-12,,False,False,False,False,FALTANTE
2012-04-13,,False,False,False,False,FALTANTE
2012-04-14,,False,False,False,False,FALTANTE
2012-04-15,,False,False,False,False,FALTANTE
2012-04-16,,False,False,False,False,FALTANTE
2012-04-17,,False,False,False,False,FALTANTE
2012-04-18,,False,False,False,False,FALTANTE
2012-04-19,,False,False,False,False,FALTANTE
2012-04-20,,False,False,False,False,FALTANTE
2012-04-21,,False,False,False,False,FALTANTE
2012-04-22,,False,False,False,False,FALTANTE
2012-04-23,,False,False,False,False,FALTANTE
2012-04-24,,False,False,False,False,FALTANTE
2012-04-25,,False,False,False,False,FALTANTE
2012-04-26,,False,False,False,False,FALTANTE
2012-04-27,,False,False,False,False,FALTANTE
2012-04-28,,False,False,False,False,FALTANTE
2012-04-29,,False,False,False,False,FALTANTE
2012-04-30,,False,False,False,False,FALTANTE
2012-05-01,,False,False,False,False,FALTANTE
2012-05-02,,False,False,False,False,FALTANTE
2012-05-03,,False,False,False,False,FALTANTE
2012-05-04,,False,False,False,False,FALTANTE
2012-05-05,,False,False,False,False,FALTANTE
2012-05-06,,False,False,False,False,FALTANTE
